SSOC 2015,OCCUPATION,,SSOC 2010
1324,"Transport, Supply, Distribution and Related Managers",,
13241,Supply and distribution/Logistics/Warehousing manager,,13241
13242,Procurement/Purchasing manager,,13242
13243,Transport operations manager,,13243
13244,Postal service manager,,13244
13245,"Working proprietor (transport, storage and courier)",,13245
,,,
,,,
1329,Production and Operations Managers Not Elsewhere Classified,,
13291,Technical/Engineering services manager (eg shipyard manager),,13291
13292,Quality assurance manager,,13292
13299,Other production and operations managers n.e.c. (eg mining manager),,13299
,,,
,,,
133,INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE,,
,     MANAGERS,,
,,,
,,,
1330,Information and Communications Technology Service Managers,,
13301,Chief information officer/Chief technology officer/Chief security officer,,13301
13302,Software and applications manager,,13302
13303,Network and communications manager,,13303
13304,IT service manager,,13304
13305,Working proprietor (information and communications technology service),,13305
,,,
,,,
134,"PROFESSIONAL, FINANCIAL, COMMUNITY AND SOCIAL SERVICES",,
,     MANAGERS,,
,,,
,,,
1341,Child Care Services Managers,,
13410,Child care services manager,,13410
,,,
,,,
1342,Health Services Managers,,
13420,Health services manager,,13420
,,,
,,,
1343,Aged Care Services Managers,,
13430,Aged care services manager,,13430
,,,
,,,
1344,Social Welfare Managers,,
13440,Social welfare manager,,13440
,,,
,,,
1345,Education and Training Institution Managers,,
13451,School principal,,13451
13459,"Other education managers (including registrars, deans of ",,13459
,     education institutions and heads of training institutions),,
,,,
,,,
1346,Financial and Insurance Services Managers,,
13460,Financial/Insurance services manager (eg financial institution branch ,,13460
,     manager),,
,,,
,,,
1349,"Professional, Financial, Community and Social Services Managers Not ",,
,     Elsewhere Classified,,
13491,"Working proprietor (professional, financial, community and social services)",,13491
13499,"Other professional, financial, community and social services managers ",,13499
,,,
,,,
14,"HOSPITALITY, RETAIL AND RELATED SERVICES MANAGERS",,
,,,
,,,
141,HOTEL AND FOOD AND BEVERAGES SERVICES MANAGERS,,
,,,
,,,
1411,Hotel Operations and Lodging Services Managers,,
14111,Hotel operations/Lodging services manager,,14111
14112,Working proprietor (lodging services),,14112
,,,
,,,
1412,Food and Beverages Services Managers,,
14121,Restaurant manager,,14121
14122,Catering services manager,,14122
14123,Working proprietor (restaurant and other catering services),,14123
,,,
,,,
142,RETAIL AND WHOLESALE TRADE MANAGERS,,
,,,
,,,
1420 ,Retail and Wholesale Trade Managers,,
14201,Retail/Shop sales manager,,14201
14202 ,Wholesale trade manager,,14202 
14203,Working proprietor (retail trade),,14203
14204 ,Working proprietor (wholesale trade),,14204 
,,,
,,,
143,OTHER SERVICES MANAGERS,,
,,,
,,,
1431,Sports Centre Managers,,
14310,Sports centre manager,,14310
,,,
,,,
1432,Recreation Centre Managers,,
14321,Casino operations manager,,14321
14322,Amusement/Theme park manager,,14322
14323,Cinema manager,,14323
14324,Park/Garden/Nature reserve manager,,14324
14325,Discotheque/Karaoke/Nightclub manager,,14325
14326,Wellness centre manager (eg hair/beauty/slimming/spa/manicure/ ,,14329 (part)
,     massage),,
14327,Community/Country club manager,,14329 (part)
14329,Other recreation centre managers ,,14329 (part)
,,,
,,,
1433,Arts and Cultural Centre Managers,,
14330,Arts and cultural centre manager (including gallery and museum,,14330
,     manager),,
,,,
,,,
1439,Other Services Managers Not Elsewhere Classified,,
14391,"Working proprietor (sports, recreation, arts and other services)",,14391
14392,Travel agency manager ,,14399 (part)
14399,Other services managers n.e.c.,,14399 (part)
,,,
,,,
2,PROFESSIONALS,,
,,,
,,,
21,SCIENCE AND ENGINEERING PROFESSIONALS,,
,,,
,,,
211,PHYSICAL AND EARTH SCIENCE PROFESSIONALS,,
,,,
,,,
2111,Physicists and Astronomers,,
21110,Physicist/Astronomer,,21110
,,,
,,,
2112,Meteorologists,,
21120,Meteorologist,,21120
,,,
,,,
2113,Chemists,,
21130,Chemist ,,21130
,,,
,,,
2114,"Geologists, Geophysicists and Other Physical Science Professionals",,
21141,Geologist,,21141
21142,Geophysicist,,21142
21149,Other physical science professionals ,,21149
,,,
,,,
212,"MATHEMATICIANS, ACTUARIES, STATISTICIANS AND OTHER",,
,     RELATED PROFESSIONALS,,
,,,
,,,
2121,"Mathematicians, Operations Research Analysts and Actuaries",,
21211,Mathematician,,21211
21212,Operations research analyst,,21212
21213,Actuary,,21213
,,,
,,,
2122,Statisticians,,
21220,Statistician,,21220
,,,
,,,
2123,"Other Statistical, Mathematical and Actuarial Professionals",,
21231,Statistical officer,,33141
21232,Research officer (statistical),,33142
21239,"Other statistical, mathematical and actuarial professionals ",,33149
,,,
,,,
213,LIFE SCIENCE PROFESSIONALS,,
,,,
,,,
2131,"Biologists, Botanists, Zoologists and Related Professionals",,
21311,Biologist (general),,21311
21312,Botanist,,21312
21313,Zoologist,,21313
21319,"Other biologists, botanists, zoologists and related professionals ",,21319
,,,
,,,
2132,"Farming, Forestry and Fishery Advisers",,
21321,Agronomist,,21321
21322,Horticulturist/Arborist,,21322
21323,Plant pathologist,,21323
21324,Soil scientist,,21324
21325,Floriculturist/Orchidologist,,21325
21326,Plant tissue culturist,,21326
21327,Aquaculturist,,21327
21329,"Other farming, forestry and fishery advisers ",,21329
,,,
,,,
2133,Environmental Protection and Related Professionals,,
21331,Environmental officer (environmental protection),,21331
21332,Environment research scientist (eg ecologist),,21332
21333,Energy manager,,21333
21339,Other environmental protection and related professionals ,,21339
,,,
,,,
2134,Pharmacologists and Related Professionals,,
21341,Pharmacologist,,21341
21342,Anatomist,,21342
21343,Biochemist,,21343
21344,Physiologist,,21344
21345,Animal scientist,,21345
21346,Medical scientist,,21346
21347,Clinical research professionals,,new item
21349,Other pharmacologists and related professionals ,,21349
,,,
,,,
214,ENGINEERING PROFESSIONALS (EXCLUDING ,,
,     ELECTROTECHNOLOGY),,
,,,
,,,
2141,Industrial and Production Engineers,,
21411,Manufacturing engineer (general),,21411
21412,Production engineer,,21412
21413,Automation engineer,,21413
21414,Quality control/assurance engineer,,21414
21419,Other industrial and production engineers ,,21419
,,,
,,,
2142,Civil Engineers,,
21421,Civil engineer (general),,21421
21422,Structural engineer (general),,21422
21423,Building construction engineer,,21423
21424,Soil mechanic/Piling engineer,,21424
21429,Other civil engineers ,,21429
,,,
,,,
2143,Environmental Engineers,,
21431,Environmental engineer,,21431
21432,Sewerage/Sanitary engineer,,21432
,,,
,,,
2144,Mechanical Engineers,,
21441,Mechanical engineer (general),,21441
21442,Industrial machinery and tools engineer,,21442
21443,Marine engineer (shore-based),,21443
21444,Naval architect,,21444
21445,Aeronautical engineer,,21445
21446,Automotive engineer,,21446
21447,Air-conditioning/Refrigeration engineer,,21447
21449,Other mechanical engineers ,,21449
,,,
,,,
2145,Chemical Engineers,,
21451,Chemical engineer (general),,21451
21452,Chemical engineer (petroleum),,21452
21453,Chemical engineer (petrochemicals),,21453
21459,Other chemical engineers ,,21459
,,,
,,,
2146,"Mining Engineers, Metallurgists and Related Professionals",,
21461,Petroleum/Natural gas engineer,,21461
21462,Metallurgist,,21462
21469,"Other mining engineers, metallurgists and related professionals ",,21469
,,,
,,,
2149,Engineering Professionals Not Elsewhere Classified,,
21491,Biomedical engineer,,21491
21492,Materials engineer,,21492
21493,Industrial safety engineer,,21493
21494,Quantity surveyor,,21494
21495,Ceramics/Glass technologist,,21495
21496,Food and drink technologist,,21496
21497,Optical engineer (including laser engineer) ,,21499 (part)
21498,Safety and security consultant,,new item
21499,Other engineering professionals n.e.c.,,21499 (part)
,,,
,,,
215,ELECTROTECHNOLOGY ENGINEERS,,
,,,
,,,
2151,Electrical Engineers,,
21511,Electrical engineer (general),,21511
21512,Power generation and distribution engineer,,21512
21513,Lift engineer,,21513
21519,Other electrical engineers ,,21519
,,,
,,,
2152,Electronics Engineers,,
21521,Electronics engineer (general),,21521
21522,Computer engineer,,21522
21523,Semi-conductor engineer,,21523
21524,Audio and video equipment engineer,,21524
21525,Instrumentation engineer,,21525
21526,Embedded systems engineer,,21526
21529,Other electronics engineers ,,21529
,,,
,,,
2153,Telecommunications Engineers,,
21530,Telecommunications engineer,,21530
,,,
,,,
216,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS",,
,,,
,,,
2161,Building Architects,,
21610,Building architect,,21610
,,,
,,,
2162,Landscape Architects,,
21620,Landscape architect,,21620
,,,
,,,
2163,"Fashion, Garment and Product Designers ",,
21631,Fashion/Garment designer (including jewellery designer),,34351
21632,Product and industrial designer,,34352
,,,
,,,
2164,Town and Related Planners,,
21641,Town planner,,21641
21649,Other related planners (eg traffic planner) ,,21649
,,,
,,,
2165,Surveyors and Cartographers,,
21651,Surveyor (general),,21651
21652,Land surveyor,,21652
21653,Hydrographic surveyor,,21653
21654,Cartographer,,21654
21659,Other surveyors and cartographers ,,21659
,,,
,,,
2166,Graphic and Multimedia Designers and Artists,,
21661,Graphic designer,,34361
21662,Multimedia (including computer games) designer,,34362
21663,Multimedia artist,,34363
21664,Animator,,34364
21665,Interaction/User experience designer,,34369 (part)
21666,Commercial artist,,34391
21669,Other graphic and multimedia designers and artists ,,34369 (part)
,,,
,,,
217,SHIP AND AIRCRAFT RELATED PROFESSIONALS,,
,,,
,,,
2171,Ship Engineers and Related Professionals,,
21711,Chief engineer (ship),,31511
21712,Marine superintendent engineer,,31513
21713,Ship captain,,31521
21714,Marine superintendent (deck),,31524
,,,
,,,
2172,Aircraft Pilots and Related Professionals,,
21721,Commercial airline pilot,,31531
21722,Aircraft pilot (except commercial airline and air force),,31532
21723,Flight navigator,,31533
21724,Flight engineer,,31534
21725,Flying instructor (except air force),,31535
21729,Other aircraft pilots and related associate professionals ,,31539
,,,
,,,
22,HEALTH PROFESSIONALS,,
,,,
,,,
221,MEDICAL DOCTORS,,
,,,
,,,
2211,Generalist Medical Practitioners,,
22110,General practitioner/physician,,22110
,,,
,,,
2212,Specialist Medical Practitioners (Medical),,
22121,Cardiologist,,22121
22122,Dermatologist,,22122
22123,Gastroenterologist,,22123
22124,Internal medicine physician,,22124
22125,Medical oncologist,,22125
22126,Paediatrician,,22126
22127,Respiratory physician,,22127
22128,Psychiatrist,,22128
22129,"Other specialist medical practitioners (medical) (eg endocrinologist, ",,22129
,"     geriatrician, haematologist, infectious diseases physician, ",,
,"     neurologist, nuclear medicine physician, rehabilitation physician, ",,
,"     renal physician, rheumatologist)",,
,,,
,,,
2213,Specialist Medical Practitioners (Surgical),,
22131,General surgeon,,22131
22132,Cardiothoracic surgeon,,22132
22133,Hand surgeon,,22133
22134,Neurosurgeon,,22134
22135,Orthopaedic surgeon,,22135
22136,Paediatric surgeon,,22136
22137,Plastic surgeon,,22137
22138,Urologist,,22138
22139,Other specialist medical practitioners (surgical) ,,22139
,,,
,,,
2214,Specialist Medical Practitioners (Other Specialisations) - I,,
22141,Anaesthesiologist,,22141
22142,Diagnostic radiologist,,22142
22143,Emergency physician,,22143
22144,Obstetrician/Gynaecologist,,22144
22145,Ophthalmologist,,22145
22146,Pathologist,,22146
22147,Public health physician,,22147
22148,"Otorhinolaryngologist/Ear, nose, throat (ENT) specialist",,22148
,,,
,,,
2215,Specialist Medical Practitioners (Other Specialisations) - II (Con'td),,
22151,Sports physician,,22149 (part)
22159,Other specialist medical practitioners (other specialisations) ,,22149 (part)
,"     (eg occupational physician, radiation oncologist)",,
,,,
,,,
222,NURSING PROFESSIONALS,,
,,,
,,,
2220,Nursing Professionals,,
22200,"Registered nurse and other nursing professionals (eg clinical nurse, ",,32201
,"     nurse educator, excluding enrolled nurse)",,
,,,
,,,
223,TRADITIONAL AND COMPLEMENTARY MEDICINE PROFESSIONALS,,
,     ,,
,,,
2230,Traditional and Complementary Medicine Professionals,,
22301,Traditional Chinese medicine practitioner,,22301
22302,Traditional Chinese medicine acupuncturist,,22302
,,,
,,,
225,VETERINARIANS,,
,,,
,,,
2250,Veterinarians,,
22500,Veterinarian,,22500
,,,
,,,
226,OTHER HEALTH PROFESSIONALS ,,
,,,
,,,
2261,Dentists,,
22611,Dentist (general),,22611
22612,Specialised dentist (eg orthodontist),,22612
,,,
,,,
2262,Pharmacists,,
22621,Pharmacist (patient care),,22621
22629,Other pharmacists,,22629
,,,
,,,
2263,Environmental and Occupational Health and Hygiene Professionals,,
22631,Occupational health professional (eg occupational hygienists and ,,22631
,     occupational hygiene officer),,
22632,Environmental officer (public health),,22632
22639,Other environmental and occupational health and hygiene professionals,,22639
,,,
,,,
2264,Physiotherapists and Related Professionals,,
22641,Physiotherapist,,32551
22649,Other physical therapists and related professionals,,32559 (part)
,,,
,,,
2265,Dietitians and Nutritionists,,
22651,Dietitian,,32521
22652,Nutritionist,,32522
,,,
,,,
2266,Audiologists and Speech Therapists,,
22661,Audiologist,,32531
22662,Speech therapist,,32532
,,,
,,,
2267,Optometrists,,
22670,Optometrist,,32541
,,,
,,,
2268,Occupational Therapists,,
22680,Occupational therapist,,32560
,,,
,,,
2269,Other Health Professionals Not Elsewhere Classified,,
22691,Osteopath,,32591
22692,Chiropractor,,32592
22693,Podiatrist,,32593
22694,Medical diagnostic radiographer,,32111
22695,Radiation therapist,,32112
22699,Other health professionals n.e.c.,,22690
,,,
,,,
23,TEACHING AND TRAINING PROFESSIONALS,,
,,,
,,,
231,"UNIVERSITY, POLYTECHNIC AND HIGHER EDUCATION TEACHERS",,
,     ,,
,,,
2310,"University, Polytechnic and Higher Education Teachers",,
23101,University lecturer,,23101
23102,Polytechnic lecturer,,23102
23103,Teaching assistant/Tutor in universities,,23109 (part)
23109,"Other university, polytechnic and higher education teachers ",,23109 (part)
,,,
,,,
232,JUNIOR COLLEGE AND PRE-UNIVERSITY EDUCATION TEACHERS,,
,,,
,,,
2320,Junior College and Pre-university Education Teachers,,
23200,Junior college and pre-university teacher (including integrated ,,23300 (part)
,     programme year 5-6 teacher),,
,,,
,,,
233,VOCATIONAL EDUCATION TEACHERS AND TRAINERS,,
,,,
,,,
2330,Vocational Education Teachers and Trainers,,
23300,Technical/Vocational/Commercial education institute teacher and ,,23200
,     trainer,,
,,,
,,,
234,SECONDARY EDUCATION TEACHERS,,
,,,
,,,
2340,Secondary Education Teachers,,
23400,Secondary school teacher (including integrated programme year ,,23300 (part)
,     1-4 teacher),,
,,,
,,,
235,PRIMARY EDUCATION TEACHERS,,
,,,
,,,
2350,Primary School Teachers,,
23500,Primary school teacher,,23400
,,,
,,,
236,OTHER TEACHING PROFESSIONALS,,
,,,
,,,
2361,Education Methods Specialists,,
23611,Education methods adviser,,23511
23612,Teaching aid specialist (including audio-visual aid specialist),,23512
23619,Other education methods specialists,,23519
,,,
,,,
2362,Special Education Teachers,,
23621,Teacher of the blind,,23521
23622,Teacher of the deaf,,23522
23623,Teacher of the mentally handicapped,,23523
23624,Special education teachers for infants and children (eg Early ,,23529 (part)
,     Intervention Programme for Infants and Children teachers),,
23629,Other special education teachers ,,23529 (part)
,,,
,,,
2369,Other Teaching Professionals Not Elsewhere Classified,,
23690,Other teaching professionals n.e.c.,,23590
,,,
,,,
24,BUSINESS AND ADMINISTRATION PROFESSIONALS,,
,,,
,,,
241,FINANCE PROFESSIONALS,,
,,,
,,,
2411,Accountants,,
24111,Accountant (excluding tax accountant),,24111 (part)
24112,Auditor (accounting),,24112
24113,Tax accountant,,24111 (part)
,,,
,,,
2412,Financial and Investment Advisers,,
24120,Financial/Investment adviser (eg relationship manager),,24120
,,,
,,,
2413,Financial Analysts and Related Professionals,,
24131,"Financial analyst (eg equities analyst, credit analyst, investment ",,24131
,     research analyst),,
24132,Compliance officer/Risk analyst (financial),,24132
24133,Fund/Portfolio manager (including asset allocator),,24133
24134,Treasury manager,,24134
24139,Other financial analysts and related professionals (eg financial product ,,24139
,     structurer/product controller),,
,,,
,,,
2414,Securities and Finance Dealers and Brokers,,
24141,Securities and finance dealer/broker,,33111
24142,Foreign exchange dealer/broker,,33112
24143,Financial derivatives dealer/broker,,33113
24144,Commodities derivatives broker,,33114
24149,Other finance dealers and brokers,,33119
,,,
,,,
2415,Insurance Underwriters,,
24150,Insurance underwriter,,33212
,,,
,,,
242,ADMINISTRATION PROFESSIONALS,,
,,,
,,,
2421,Management and Business Consultants,,
24211,Management consultant,,24211
24212,Business consultant,,24212
,,,
,,,
2422,Policy Administration Professionals,,
24220,Policy administration professional (eg policy analyst),,24220
,,,
,,,
2423,Human Resource Professionals,,
24231,Human resource consultant (excluding executive search consultant),,24231
24232,Executive search consultant,,24232
,,,
,,,
2429,Other Administration Professionals Not Elsewhere Classified,,
24291,Research officer (non-statistical),,33492
24299,Other administration professionals n.e.c.,,new item
,,,
,,,
243,MARKETING AND PUBLIC RELATIONS PROFESSIONALS,,
,,,
,,,
2431,Advertising and Marketing Professionals,,
24311,Creative director (advertising),,24311
24312,Market research analyst,,24312
,,,
,,,
2432,Public Relations Professionals,,
24320,Public relations/Corporate communications professional,,"24320,"
,,,33450
,,,
2433,Specialised Goods Sales Professionals,,
24331,Technical sales professionals,,33222
24332,Medical and pharmaceutical products sales professionals,,33223
24333,ICT sales professionals,,33224
24334,Sales professionals (institutional sales of financial products),,33225
24339,Other specialised goods sales professionals ,,33229 (part)
,,,
,,,
2434,Trade and Ship Brokers,,
24341,Trade broker (including oil and bunker trader),,33241
24342,Ship broker,,33242
24343,Ship charterer,,31593
,,,
,,,
25,INFORMATION AND COMMUNICATIONS TECHNOLOGY ,,
,     PROFESSIONALS,,
,,,
,,,
251,SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,,
,,,
,,,
2511,Systems Analysts,,
25111,Systems designer/analyst,,25111
25112,IT business process consultant/business analyst,,25112
25113,Enterprise/Solution architect,,new item
,,,
,,,
2512,"Software, Web and Multimedia Developers",,
25121,Software developer,,25121
25122,Web and mobile applications developer,,25122
25123,Multimedia (including computer games) developer,,25123
,,,
,,,
2514,Applications and Systems Programmers,,
25140,Applications/Systems programmer,,25140
,,,
,,,
2515,Information Technology Testing and Quality Assurance Professionals,,
25151,Information technology testing/quality assurance specialist,,25151
25152,Information technology auditor,,25152
,,,
,,,
2516,Information Technology Project Managers,,
25160,Information technology project manager,,25160
,,,
,,,
2519,Software and Applications Developers and Analysts Not ,,
,    Elsewhere Classified,,
25190,Software and applications developer and analyst n.e.c.,,25190
,,,
,,,
252,"DATABASE, NETWORK AND INFRASTRUCTURE ",,
,     PROFESSIONALS,,
,,,
,,,
2521,Database Designers and Administrators,,
25211,Database administrator,,25211
25212,Database architect,,25212
,,,
,,,
2522,"Network, Servers and Computer Systems Administrators",,
25220,"Network, servers and computer systems administrator",,25220
,,,
,,,
2523,Computer Network and Infrastructure Professionals,,
25230,"Network/Infrastructure architect, engineer and specialist",,25230
,,,
,,,
2524,Information Technology Security Specialists,,
25240,Information technology security specialist,,25240
,,,
,,,
2529,Database and Network Professionals Not Elsewhere Classified,,
25291,Data scientist,,25290 (part)
25299,Database and network professional n.e.c.,,25290 (part)
,,,
,,,
26,"LEGAL, SOCIAL AND CULTURAL PROFESSIONALS",,
,,,
,,,
261,LEGAL PROFESSIONALS,,
,,,
,,,
2611,Lawyers,,
26111,Advocate/Solicitor (practising),,26111
26112,"In-house legal counsel (except judiciary, ministries and statutory boards) ",,26112
26119,"Other lawyers (eg prosecutors, legal counsel in ministries and ",,26113
,     statutory boards) ,,
,,,
,,,
2612,Judges,,
26120,Judge (including registrar in judiciary),,26120
,,,
,,,
262,"LIBRARIANS, ARCHIVISTS AND CURATORS",,
,,,
,,,
2621,"Archivists, Curators and Conservators",,
26211,Archivist,,26211
26212,Curator (art gallery and museum),,26212
26213,Conservator (art works),,26213
,,,
,,,
2622,Librarians and Related Information Professionals,,
26221,Librarian,,26221
26229,Other information professionals ,,26229
,,,
,,,
263,SOCIAL SCIENCE PROFESSIONALS,,
,,,
,,,
2631,Economists,,
26310,Economist,,26310
,,,
,,,
2632,"Sociologists, Anthropologists and Related Professionals",,
26321,Sociologist,,26321
26322,Anthropologist,,26322
26323,Social research analyst,,26323
,,,
,,,
2633,"Historians, Political Scientists and Other Social Science Professionals",,
26331,Historian,,26331
26332,Political scientist,,26332
26339,Other social science professionals (eg philosopher),,26339
,,,
,,,
2634,Psychologists,,
26340,Psychologist,,26340
,,,
,,,
2635,Social Work and Counselling Professionals,,
26351,Social worker (general),,26351
26352,Social worker (delinquency),,26352
26353,Medical social worker,,26353
26354,Counsellor (rehabilitation),,26354
26355,Counsellor (drugs and alcohol),,26355
26356,Counsellor (family),,26356
26357,School counsellor,,26357
26359,Other social work and counselling professionals ,,26359
,,,
,,,
264,"AUTHORS, JOURNALISTS AND EDITORS",,
,,,
,,,
2641,Authors and Related Writers,,
26411,Author,,26411
26412,Script writer,,26412
26413,Advertising copywriter,,26413
26414,Technical writer,,26414
26415,Continuity and script editor,,26415
26416,Book editor,,26416
26419,Other authors and related writers,,26419
,,,
,,,
2642,Journalists,,
26421,Journalist,,26421
26422,Editor (news and periodicals),,26422
,,,
,,,
2643,"Translators, Interpreters and Other Linguists",,
26431,Translator,,39101
26432,Interpreter,,39102
,,,
,,,
265,CREATIVE AND PERFORMING ARTISTS,,
,,,
,,,
2651,Visual Artists,,
26511,Sculptor,,26511
26512,Painter,,26512
26513,Cartoonist,,26513
26519,Other visual artists ,,26519
,,,
,,,
2652,"Musicians, Composers and Singers",,
26521,Instrumentalist,,26521
26522,Composer/Orchestrator,,26522
26523,Conductor/Director of orchestra/band/choir,,26523
26524,Singer,,26524
26529,"Other musicians, composers and singers ",,26529
,,,
,,,
2653,Dancers and Choreographers,,
26531,Dancer,,26531
26532,Choreographer,,26532
,,,
,,,
2654,"Film, Stage and Related Directors and Producers",,
26541,"Producer (stage, film, television, computer games, video and radio)",,26541
26542,"Director (stage, film, television and radio)",,26542
26543,"Artistic director (stage, film, television and radio)",,26543
26544,Producer/Director of commercials,,26544
26545,"Editor (radio, television and video)",,26545
26549,"Other film, stage and related directors and producers ",,26549
,,,
,,,
2655,Actors,,
26550,Actor,,26550
,,,
,,,
2656,Radio and Television Presenters and Related Professionals,,
26561,Radio presenter,,34411
26562,Television presenter,,34412
26563,Dubbing artiste,,34413
26569,Other radio and television presenters and related professionals ,,34419 (part)
,,,
,,,
29,OTHER PROFESSIONALS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
290,OTHER PROFESSIONALS NOT ELSEWHERE CLASSIFIED,,
,,,
,,,
2901,Religious Professionals,,
29011,Minister of religion,,29011
29019,Other religious professionals,,29019
,,,
2909,Other Professionals Not Elsewhere Classified,,
29090,"Other professionals n.e.c. (eg patent agent, trademark agent, intellectual ",,29090
,     property strategist),,
,,,
,,,
3,ASSOCIATE PROFESSIONALS AND TECHNICIANS,,
,,,
,,,
31,PHYSICAL AND ENGINEERING SCIENCE ASSOCIATE ,,
,     PROFESSIONALS,,
,,,
,,,
310,ASSISTANT ENGINEERS,,
,,,
,,,
3100,Assistant Engineers,,
31001,Assistant civil and structural engineer,,31001 
31002,Assistant electrical engineer,,31002 
31003,Assistant electronics engineer,,31003 
31004,Assistant mechanical engineer,,31004 
31005,Assistant chemical engineer,,31005 
31006,Assistant manufacturing engineer,,31006 
31009,Other assistant engineers ,,31009 
,,,
,,,
311,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS,,
,,,
,,,
3111,Chemical and Physical Science Technicians,,
31111,Chemistry technician,,31111
31112,Physics technician,,31112
31119,Other chemical and physical science technicians ,,31119
,,,
,,,
3112,Civil Engineering Technicians,,
31121,Civil engineering technician,,31121
31122,Structural engineering technician,,31122
31123,Building technician,,31123
31124,Land surveying technician,,31124
31125,Resident technical officer,,31125
31129,Other civil engineering and related technicians ,,31129
,,,
,,,
3113,Electrical Engineering Technicians,,
31131,Electrical engineering technician (general),,31131
31132,Electrical engineering technician (high voltage),,31132
31139,Other electrical engineering technicians ,,31139
,,,
,,,
3114,Electronics Engineering Technicians,,
31141,Electronics engineering technician (general),,31141
31142,Semi-conductor technician,,31142
31143,Audio and video equipment technician,,31143
31144,Instrumentation technician,,31144
31149,Other electronics engineering technicians ,,31149
,,,
,,,
3115,Mechanical Engineering Technicians,,
31151,Mechanical engineering technician (general),,31151
31152,Aeronautical engineering technician,,31152
31153,Automotive engineering technician,,31153
31154,Air-conditioning/Refrigeration engineering technician,,31154
31155,Machining/Tooling technician,,31155
31156,Tool/Mould designer,,31156
31157,Marine surveyor (ship and nautical),,31157
31158,Airworthiness surveyor,,31158
31159,Other mechanical engineering technicians ,,31159
,,,
,,,
3116,Chemical Engineering Technicians,,
31161,Chemical engineering technician (general),,31161
31162,Chemical engineering technician (petroleum and natural gas),,31162
31163,Chemical engineering technician (petrochemicals),,31163
31169,Other chemical engineering technicians ,,31169
,,,
,,,
3117,Manufacturing Engineering Technicians,,
